code,city,state
00001,West Annetteton,ZZ
00002,Curtisport,ZZ
00004,Williamburgh,ZZ
00005,West Rebeccafort,ZZ
00006,Leonberg,ZZ
00007,New Antonioshire,ZZ
00010,East Jenniferport,ZZ
00011,Davidborough,ZZ
00012,Alexanderborough,ZZ
00013,Lake Lynnshire,ZZ
00014,New Patrick,ZZ
00015,East Nicholas,ZZ
00016,Clarkeside,ZZ
00018,Lake Larry,ZZ
00019,South Diamondtown,ZZ
00021,West Jimmychester,ZZ
00022,Dodsonside,ZZ
00023,South Tracychester,ZZ
00024,Lake Royland,ZZ
00025,Cruzborough,ZZ
00026,Lake Denisefurt,ZZ
00027,East Luke,ZZ
00028,Gomezhaven,ZZ
00029,New Nancyborough,ZZ
00032,South Jamestown,ZZ
00034,Port Jenniferport,ZZ
00036,Gloverhaven,ZZ
00037,Lake Kevin,ZZ
00038,Justinchester,ZZ
00040,South Teresaview,ZZ
00041,West Steven,ZZ
00042,North Lisafurt,ZZ
00043,Lake Alejandroshire,ZZ
00044,Ellisville,ZZ
00047,Raymondfurt,ZZ
00049,Lake Jason,ZZ
00050,Comptonmouth,ZZ
00051,Mckenziemouth,ZZ
00053,Port Mathew,ZZ
00055,Michaelaview,ZZ
00056,Port Kathryn,ZZ
00059,Lake Brianshire,ZZ
00061,North Sarashire,ZZ
00062,Reynoldsborough,ZZ
00064,North Andrew,ZZ
00066,Jacksonburgh,ZZ
00068,Englishmouth,ZZ
00069,Donaldside,ZZ
00070,Meganbury,ZZ
00072,Lake Donald,ZZ
00075,Reyesborough,ZZ
00076,Mccoymouth,ZZ
00077,Christophermouth,ZZ
00078,Juliefort,ZZ
00079,Johnmouth,ZZ
00080,North Dawnchester,ZZ
00081,Williamhaven,ZZ
00082,New Jasmineburgh,ZZ
00083,Curryborough,ZZ
00084,Burkeside,ZZ
00086,Roberthaven,ZZ
00087,Robertmouth,ZZ
00088,Gonzalezport,ZZ
00092,Susanshire,ZZ
00093,Wilkinston,ZZ
00096,Lake Garrettview,ZZ
00097,East Kevinbury,ZZ
00098,New Breannafort,ZZ
00102,South Ronnieside,ZZ
00103,Markfort,ZZ
00104,New Patrick,ZZ
